"sampleid","age","tooth_type","species","cc","published","publication","notes","collection_date"
"KEL284B",1,"lower right canine","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-03-15
"KEL29",3.4,"multiple","Eidolon_dupreanum","B","yes","Brook et al. 2019","age inferred from multiple teeth",2014-10-08
"KEL290",4,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-02-06
"KEL291",4,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-02-06
"KEL295",2,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-02-06
"KEL296",6,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-02-06
"KEL297",5,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-02-06
"KEL298",3,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-02-06
"KEL304",1,"lower right canine","Eidolon_dupreanum","A","no",NA,"age inferred from 1 tooth",2019-04-23
"KEL305",10,"lower left canine","Eidolon_dupreanum","A","no",NA,"age inferred from 1 tooth",2019-04-23
"KEL309",6,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-04-23
"KEL31",5,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2014-10-08
"KEL310",9.33333333333333,"multiple","Eidolon_dupreanum","A","no",NA,"age inferred from multiple teeth",2019-04-23
"KEL312",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-04-23
"KEL313",8,"upper right canine","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-04-23
"KEL316",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-04-23
"KEL317",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-04-23
"KEL319",1,"multiple","Eidolon_dupreanum","A","no",NA,"age inferred from multiple teeth",2019-04-23
"KEL32",3.25,"multiple","Eidolon_dupreanum","B","yes","Brook et al. 2019","age inferred from multiple teeth",2014-10-08
"KEL326",2,"upper right canine","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-04-23
"KEL328",6,"upper right canine","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-04-23
"KEL33",4,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2014-10-08
"KEL332",2.5,"multiple","Eidolon_dupreanum","A","no",NA,"age inferred from multiple teeth",2019-04-23
"KEL333",9,"lower left canine","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-04-23
"KEL336",6,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-06-05
"KEL337",4,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-06-05
"KEL339",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-06-05
"KEL340",1,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-06-05
"KEL345",9,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-06-06
"KEL348",10,"upper left canine","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-07-07
"KEL349",5,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-07-07
"KEL35",11,"lower left canine","Eidolon_dupreanum","A","yes","Brook et al. 2019","age inferred from 1 tooth",2014-10-08
"KEL354",1,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-07-07
"KEL361",3,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-08-24
"KEL366",8,"lower right premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-08-24
"KEL367",2,"upper right canine","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-08-24
"KEL368",3,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-08-24
"KEL369",2,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-09-20
